"Rahul targets CM, says Telangana not formed for his family",clip1,formed,http://media.tenor.com/images/b8a537b7f172230367d7f3c944bb009f/tenor.gif,http://media.tenor.com/images/a2df0fd39017d8d75d99c9646588707f/tenor.gif,http://media.tenor.com/images/b74d37cce63f712130d3fc95a60bbdb4/tenor.gif,http://media.tenor.com/images/e44613bd0aa4e91c2d216d87597e514c/tenor.gif,http://media.tenor.com/images/591fc21a405d7204aa58a870d8182eef/tenor.gif
Resorts World Manila: Dozens dead after gunman torches Philippine casino: Police,clip1,found,http://media.tenor.com/images/47e4d4733301572d4ca2c02859dcb4dd/tenor.gif,http://media.tenor.com/images/768d93606987c92399966b63ae109b3a/tenor.gif,http://media.tenor.com/images/56e586f615fd0f4622af37955ad25c09/tenor.gif,http://media.tenor.com/images/9d3627a561e80cdb3d15a0aaa0a7fad5/tenor.gif,http://media.tenor.com/images/68e8949fbc82cff38806b0a30905485c/tenor.gif
Resorts World Manila: Dozens dead after gunman torches Philippine casino: Police,clip1,triggering,http://media.tenor.com/images/a4e64112203e6b4c43f29f6b9d74deaf/tenor.gif,http://media.tenor.com/images/699b1c9a23fc73a7e46622fec954c7d0/tenor.gif,http://media.tenor.com/images/a38009dda0cf9d6b970f0ec2e3f4b7ef/tenor.gif,http://media.tenor.com/images/b510bb969fc2e5b7fbb831e39f5ff296/tenor.gif,http://media.tenor.com/images/05a09c3fd3a487355c9fe7ade633435e/tenor.gif
Resorts World Manila: Dozens dead after gunman torches Philippine casino: Police,clip1,said,http://media.tenor.com/images/0c6df53a067cca86ff55607cffff003f/tenor.gif,http://media.tenor.com/images/796a8b44feac5cd61867313ed4e73dbf/tenor.gif,http://media.tenor.com/images/2ae65ed3d29eda987feef6b3494a291b/tenor.gif,http://media.tenor.com/images/c91b10a141b049d53c36d9ea76eb4403/tenor.gif,http://media.tenor.com/images/5a4cb54a041209177ae18db634637431/tenor.gif
"Banks: ‘Banking consolidation via closure, merger soon’",clip1,has,http://media.tenor.com/images/f565a23bd2c9197da87d711ce80f20a3/tenor.gif,http://media.tenor.com/images/24144f10304b690c7da7ce4f4861a621/tenor.gif,http://media.tenor.com/images/4303e06e309a23e35ecc4615345407e1/tenor.gif,http://media.tenor.com/images/4573de0b4ac1f8f5012b414bfd0a66d6/tenor.gif,http://media.tenor.com/images/35606eeb81b147ceba48de4d5e7b20b1/tenor.gif
"Banks: ‘Banking consolidation via closure, merger soon’",clip1,sounded,http://media.tenor.com/images/fb30fb64324015d8934c296d93eaec18/tenor.gif,http://media.tenor.com/images/52dd9d82c9a570ef383dac529956c036/tenor.gif,http://media.tenor.com/images/2b4c5aff715c41e662ab2d5f77369f41/tenor.gif,http://media.tenor.com/images/b542dadc989b909d1ebc18beadf0269d/tenor.gif,http://media.tenor.com/images/eefc721b6d7b757db98dcedbfd075f9e/tenor.gif
"Banks: ‘Banking consolidation via closure, merger soon’",clip1,precarioushas,,,,,,,,,,
"Banks: ‘Banking consolidation via closure, merger soon’",clip1,has,http://media.tenor.com/images/f565a23bd2c9197da87d711ce80f20a3/tenor.gif,http://media.tenor.com/images/24144f10304b690c7da7ce4f4861a621/tenor.gif,http://media.tenor.com/images/4303e06e309a23e35ecc4615345407e1/tenor.gif,http://media.tenor.com/images/4573de0b4ac1f8f5012b414bfd0a66d6/tenor.gif,http://media.tenor.com/images/35606eeb81b147ceba48de4d5e7b20b1/tenor.gif
"Banks: ‘Banking consolidation via closure, merger soon’",clip1,said,http://media.tenor.com/images/0c6df53a067cca86ff55607cffff003f/tenor.gif,http://media.tenor.com/images/796a8b44feac5cd61867313ed4e73dbf/tenor.gif,http://media.tenor.com/images/2ae65ed3d29eda987feef6b3494a291b/tenor.gif,http://media.tenor.com/images/c91b10a141b049d53c36d9ea76eb4403/tenor.gif,http://media.tenor.com/images/5a4cb54a041209177ae18db634637431/tenor.gif
"Banks: ‘Banking consolidation via closure, merger soon’",clip1,currenthas,,,,,,,,,,
"Banks: ‘Banking consolidation via closure, merger soon’",clip1,sustainablehas,,,,,,,,,,
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,maintained,http://media.tenor.com/images/f28c5cc30b6ed03f28b9eeeba553b56e/tenor.gif,http://media.tenor.com/images/262de05529fc77742c5681fce3909dce/tenor.gif,http://media.tenor.com/images/b5cc80486a2cf33b35ecf8bf06325db0/tenor.gif,http://media.tenor.com/images/6d03ca6e2c35bd612445fedd9f8e1387/tenor.gif,http://media.tenor.com/images/a0402ad26bedf47ee69b225f71876e7e/tenor.gif
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,healthymaintained,,,,,,,,,,
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,saw,http://media.tenor.com/images/82f0d70740b81053c4287d62a1cdfb19/tenor.gif,http://media.tenor.com/images/40d9bb82d61eac300cc5bf824a71fe09/tenor.gif,http://media.tenor.com/images/c0b7311d3cca9898a21a520cafc5fc84/tenor.gif,http://media.tenor.com/images/2ba940500fe68596c15b8325e38db64c/tenor.gif,http://media.tenor.com/images/e329c2df2941afcdf96b2a6eed10ef65/tenor.gif
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,much-awaitedmaintained,,,,,,,,,,
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,saw,http://media.tenor.com/images/82f0d70740b81053c4287d62a1cdfb19/tenor.gif,http://media.tenor.com/images/40d9bb82d61eac300cc5bf824a71fe09/tenor.gif,http://media.tenor.com/images/c0b7311d3cca9898a21a520cafc5fc84/tenor.gif,http://media.tenor.com/images/2ba940500fe68596c15b8325e38db64c/tenor.gif,http://media.tenor.com/images/e329c2df2941afcdf96b2a6eed10ef65/tenor.gif
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,largermaintained,,,,,,,,,,
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,cheapermaintained,,,,,,,,,,
"Car sales steady in May, though GST uncertainty may impact June numbers",clip1,expensivemaintained,,,,,,,,,,
